,unique_id,osmid,element_type,geometry,amenity,building,name,drive_through,fee,operator,note,level,addr:housenumber,addr:postcode,addr:street,opening_hours,phone,addr:city,addr:housename,building:levels,description,source,access,alt_name,brand,brand:wikidata,shop,office,website,ref,wheelchair,leisure,bus,public_transport,ref:NPLG:UPRN:1,parking,emergency,tourism,wikidata,historic,addr:unit,indoor,sport,nodes,brand:wikipedia,service:bicycle:retail,shop_1,denomination,postal_code,religion,fhrs:id,source:postcode,old_name,old_shop,cuisine,fixme,park_ride,supervised,source:addr,cinema:3D,screen,wikipedia,layer,addr:country,contact:facebook,contact:phone,contact:twitter,contact:website,fhrs:authority,fhrs:local_authority_id,opening_hours:covid19,disused:amenity,phone:GB,facebook,food,internet_access,internet_access:fee,internet_access:ssid,twitter,source:geometry,outdoor_seating,height,source:name,second_hand,ref:GB:uprn,email,addr:flats,addr:interpolation,building:use,listed_status,old_amenity,old_denomination,old_religion,telecom,fax,smoking,stars,service_times,area,self_checkout,owner,man_made,HE_ref,notes,fhrs:rating,gay,lgbtq,female,male,residential,healthcare,name:en,club,product,name:sr,social_facility,social_facility:for,other_fhrs:id,cqc:location:id,pool,toilets,toilets:wheelchair,type,source:building,roof:levels,roof:shape,start_date,official_name,landuse,surface,building:colour,building:material,roof:colour,roof:material,craft,capacity,addr:source,brewery,unisex,power,building:min_level,source:addr:postcode,name:pa,name:gu,name:hi,substation,air_conditioning,name:it,butcher,delivery,takeaway,atm,diet:vegetarian,food_hall,disused,disused:shop,architect,wikimedia_commons,studio,abandoned:building,room,cyclestreets_id,gift,building:levels:underground,bar,restaurant,survey_date,add,information,gay:men,gay:transgender,government,dispensing,beauty,opening_date,rooms,material,number_of_apartments,roof:orientation,construction,operator:type,animal_training,ways,service:vehicle:car_repair,service:vehicle:used_car_sales
3523,way/469084373,469084373,way,"-1.1350238,52.6346043,,-1.1351301,52.6347227,,-1.1350703,52.6347892,,-1.1350077,52.6347788,,-1.1349386,52.6347316,,-1.1350032,52.6346956,,-1.1349261,52.6346384,,-1.1350238,52.6346043,,",restaurant,retail,Grillstock,,,,,,03-May,LE1 5DF,St Martins Square,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,"[4634911941, 4634911946, 4634911947, 4634911948, 4634911944, 4634911945, 4634911942, 4634911941]",,,,,,,801568,,Pizza Express,,italian,,,,FHRS Open Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3524,way/469084376,469084376,way,"-1.1350671,52.6345298,,-1.1351716,52.6345039,,-1.1352149,52.6345682,,-1.1351878,52.634576,,-1.1351639,52.6345453,,-1.1351136,52.6345598,,-1.1350912,52.6345656,,-1.1350671,52.6345298,,",ice_cream,yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4634911955, 3131263768, 4634911963, 4634911956, 4634911957, 4634911975, 4634911938, 4634911955]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3525,way/469084377,469084377,way,"-1.1354653,52.6348013,,-1.1353398,52.634838,,-1.1353012,52.6347925,,-1.1354282,52.6347542,,-1.1354653,52.6348013,,",,retail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3131263765, 4634911964, 4634911965, 4634911966, 3131263765]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3526,way/469084378,469084378,way,"-1.1354282,52.6347542,,-1.1353012,52.6347925,,-1.13527,52.6347546,,-1.135397,52.6347164,,-1.1354282,52.6347542,,",,yes,The Barbers Lounge @ St Martins,,,,,,10,LE1 5DF,St Martin's Square,,,Leicester,,,,,,,,,hairdresser,,,,,,,,,,,,,,,,,"[4634911966, 4634911965, 4634911968, 4634911967, 4634911966]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3527,way/469084379,469084379,way,"-1.135397,52.6347164,,-1.13527,52.6347546,,-1.1352231,52.6346968,,-1.1351957,52.6346631,,-1.1353224,52.6346249,,-1.135397,52.6347164,,",restaurant,yes,Bodega Cantina,,,,,,06-Aug,LE1 5DF,St Martin's Square,"12:00-23:00; Fr,Sa 12:00-00:00",+44 116 262 4292,Leicester,,,,,,,,,,,http://www.bodegacantina.co.uk/locations/leicester/,,,,,,,,,,,,,,,"[4634911967, 4634911968, 4634911981, 4634911969, 4634911970, 4634911967]",,,,,,,,,,,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3528,way/469084380,469084380,way,"-1.1353225,52.6346249,,-1.1351947,52.6346634,,-1.1351548,52.6346121,,-1.1352826,52.6345753,,-1.1353225,52.6346249,,",restaurant,yes,KAI Kitchen,,,,,,4,LE1 5DF,St Martin's Square,,+44 116 262 1400,Leicester,,,,,,,,,,,https://kai.kitchen,,,,,,,,,,,,,,,"[4634911971, 4634911972, 4634911973, 4634911974, 4634911971]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eat@kai.kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3529,way/469084381,469084381,way,"-1.1352826,52.6345753,,-1.1351548,52.6346121,,-1.1351378,52.6345904,,-1.1351136,52.6345598,,-1.1351639,52.6345453,,-1.1351878,52.634576,,-1.1352149,52.6345682,,-1.1352655,52.6345535,,-1.1352826,52.6345753,,",,retail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4634911974, 4634911973, 4634911977, 4634911975, 4634911957, 4634911956, 4634911963, 4634911976, 4634911974]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3530,way/469084382,469084382,way,"-1.1353398,52.634838,,-1.1352569,52.6348622,,-1.1351656,52.6348888,,-1.1352208,52.6349584,,-1.1353126,52.6349316,,-1.1353884,52.6349095,,-1.1354956,52.6348782,,-1.1355205,52.6348709,,-1.1355083,52.6348555,,-1.1354653,52.6348013,,-1.1353398,52.634838,,",,retail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4634911964, 130229548, 4634911979, 4634911980, 4634911983, 2504907778, 4634912089, 4634911985, 3131263766, 3131263765, 4634911964]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3531,way/469084387,469084387,way,"-1.1351656,52.6348888,,-1.1350223,52.634936,,-1.1350138,52.6349274,,-1.1349798,52.6349279,,-1.1349667,52.634846,,-1.1351329,52.6348552,,-1.1351656,52.6348888,,",,yes,Panasonic Store,,,,,,,,,,,,,,,,,,,,electronics,,,,,,,,,,,,,,,,,"[4634911979, 4634912091, 4634912096, 4634912094, 4634912097, 4634912100, 4634911979]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532,way/469084388,469084388,way,"-1.1349667,52.634846,,-1.1348612,52.6348522,,-1.1348742,52.6349341,,-1.1349798,52.6349279,,-1.1349667,52.634846,,",,retail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4634912098, 4634912092, 4634912093, 4634912095, 4634912098]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533,way/469084389,469084389,way,"-1.1348612,52.6348522,,-1.1347656,52.6348859,,-1.1348122,52.6349438,,-1.1348742,52.6349341,,-1.1348612,52.6348522,,",,retail,0,,,,,,,LE1 5DG,St Martin's Square,,,Leicester,,,,,,,,,vacant,,,,,,,,,,,,,,,,,"[4634912092, 4634912105, 4634912102, 4634912093, 4634912092]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534,way/469084390,469084390,way,"-1.1348122,52.6349438,,-1.1347656,52.6349633,,-1.1346571,52.6349377,,-1.1346584,52.6349263,,-1.1347453,52.6348855,,-1.1347656,52.6348859,,-1.1348122,52.6349438,,",,retail,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4634912102, 4634912103, 4634912104, 4635107661, 4635107660, 4634912105, 4634912102]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,way/469109704,469109704,way,"-1.1352885,52.6353466,,-1.1352176,52.6352578,,-1.1352893,52.6352366,,-1.1353602,52.6353253,,-1.1352885,52.6353466,,",,yes,Brides of Bond Street,,,,,,32,LE1 5ET,Silver Street,,,Leicester,,3,,,,,,,clothes,,,,,,,,,,,,,,,,,"[4635107671, 4635107672, 4635107677, 4635107676, 4635107671]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,way/469109706,469109706,way,"-1.1353602,52.6353253,,-1.1352893,52.6352366,,-1.1353671,52.6352144,,-1.135437,52.6353021,,-1.1353602,52.6353253,,",,yes,Cocoa Amore,,,,,,34,LE1 5ET,Silver Street,,,Leicester,,3,,,,,,,chocolate,,,,,,,,,,,,,,,,,"[4635107676, 4635107677, 2504907774, 2504907773, 4635107676]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537,way/469498125,469498125,way,"-1.1261309,52.6324425,,-1.1256098,52.6323278,,-1.1255296,52.6324576,,-1.125874,52.6325325,,-1.1258087,52.6326329,,-1.1259322,52.6326625,,-1.1259763,52.6325947,,-1.1259052,52.6325777,,-1.1259124,52.6325666,,-1.1259313,52.6325711,,-1.1259456,52.6325482,,-1.1260507,52.6325711,,-1.1261309,52.6324425,,",,yes,St George's Tower,,,,,,1,LE1 1SW,St Georges Way,,,Leicester,,22,,,,,,,,,,,,,,,,,,,Q16913470,,,,,"[4638018130, 1039252322, 4638018131, 4638018138, 4638018132, 4638018133, 4638018134, 4638018135, 4638018136, 4638018137, 4638018139, 4638018129, 4638018130]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stephen George & Partners,File:St George's Tower in the style of... Lego - geograph.org.uk - 536127.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
3538,way/469552322,469552322,way,"-1.1367398,52.6318623,,-1.1366777,52.6318633,,-1.1366781,52.6318713,,-1.1364947,52.6318744,,-1.1364943,52.6318655,,-1.1363414,52.6318681,,-1.1363412,52.6318634,,-1.1360395,52.6318681,,-1.1360397,52.6318736,,-1.1359785,52.6318745,,-1.1359784,52.6318712,,-1.1357612,52.6318738,,-1.1357617,52.6318866,,-1.1356701,52.6318876,,-1.1356715,52.6319309,,-1.1356855,52.6319307,,-1.1356861,52.6319495,,-1.1356581,52.6319578,,-1.1357417,52.6320621,,-1.1359096,52.6320125,,-1.1358864,52.6319836,,-1.1360254,52.6319817,,-1.1360259,52.6319958,,-1.1361812,52.6319937,,-1.1362929,52.6321244,,-1.1363839,52.6320958,,-1.136296,52.6319929,,-1.1365411,52.6319893,,-1.1365422,52.6320147,,-1.1366831,52.6320123,,-1.1366817,52.6319825,,-1.1367452,52.6319815,,-1.1367398,52.6318623,,",,apartments,Grosvenor House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4638513716, 4638513717, 4638513718, 4638513719, 4638513720, 4638513721, 4638513722, 4638513723, 4638513724, 4638513731, 4638513732, 4638513730, 4638513733, 4638513734, 4638513735, 4638513736, 4638513737, 4638513738, 4638513739, 4638513740, 4638513729, 4638513728, 4638513725, 4638513726, 4638513747, 4638513746, 4638513727, 4638513745, 4638513744, 4638513743, 4638513742, 4638513741, 4638513716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3539,way/469552325,469552325,way,"-1.1357224,52.6312049,,-1.135341,52.6312643,,-1.135405,52.6314169,,-1.1355689,52.6313916,,-1.1355537,52.6313553,,-1.1357722,52.6313217,,-1.135745,52.6312566,,-1.1357224,52.6312049,,",,yes,0,,,,,,9,LE1 5TE,Upper Brown Street,,,Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,"[4638514092, 4638514093, 4638513770, 4638513771, 4638513772, 4638513773, 4638513786, 4638514092]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3540,way/469552326,469552326,way,"-1.1354043,52.6314164,,-1.1354777,52.6315921,,-1.1357444,52.6315511,,-1.135828,52.6315382,,-1.1357516,52.6313554,,-1.1356565,52.63137,,-1.1356936,52.6314587,,-1.1355802,52.6314762,,-1.1355461,52.6313946,,-1.1354043,52.6314164,,",,yes,0,,,,,,05-Jul,LE1 5TE,Upper Brown Street,,,Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,"[4638513774, 2168822260, 4638760524, 4638513781, 4638513776, 4638513777, 4638513778, 4638513779, 4638513780, 4638513774]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3541,way/469552327,469552327,way,"-1.1361205,52.6310337,,-1.1361945,52.6311168,,-1.1357846,52.6312511,,-1.135745,52.6312566,,-1.1357224,52.6312049,,-1.135341,52.6312643,,-1.1353331,52.6312395,,-1.1354506,52.6312221,,-1.1357155,52.631183,,-1.1356919,52.6311249,,-1.1356819,52.6310998,,-1.1358284,52.6310818,,-1.1358336,52.6310978,,-1.1358586,52.6310958,,-1.1358866,52.6311114,,-1.1359846,52.631078,,-1.1359528,52.6310427,,-1.1359957,52.6310284,,-1.136028,52.631064,,-1.1361205,52.6310337,,",,apartments,Grace House,,,,,,11,LE1 5TE,Upper Brown Street,,,Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,"[4638514118, 4638514119, 4638514116, 4638513786, 4638514092, 4638514093, 4638514094, 4638514103, 4535585580, 4638514108, 4638514091, 4638514090, 4638514089, 4638513788, 4638513787, 4638513782, 4638513785, 4638513784, 4638513783, 4638514118]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3542,way/469552328,469552328,way,"-1.1359596,52.6310212,,-1.1357367,52.6310537,,-1.1356876,52.6309295,,-1.1359106,52.6308971,,-1.1359596,52.6310212,,",,yes,0,,,,,,33,LE1 5TT,York Road,,,Leicester,,,,,,,,,,,,,,,,,,,,,,,,,,"[4638514095, 4638514096, 4638514097, 4638514098, 4638514095]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
